barcode_01	229	321	480	874
barcode_02	129	314	768	676
barcode_03	305	376	506	804
barcode_04	124	325	661	502
barcode_05	203	134	432	679
barcode_06	848	646	1665	1207
barcode_07	330	198	897	436
barcode_08	910	1045	1260	2092
barcode_09	864	2606	1837	3604
barcode_10	396	635	926	1520
barcode_11	204	136	506	841
barcode_12	192	203	897	470
barcode_13	694	1372	1235	1766
barcode_14	109	208	819	500
barcode_15	863	1489	1795	2078
barcode_16	224	155	775	468
barcode_17	0	1742	610	2154
barcode_18	222	107	414	717
barcode_19	112	214	902	476
barcode_20	323	1036	1386	2079
barcode_21	75	91	621	800
barcode_22	277	73	917	620
barcode_23	145	246	823	510
barcode_24	422	436	842	1509
barcode_25	221	347	1251	680
barcode_26	318	275	903	491
barcode_27	430	199	834	1200
barcode_28	156	149	718	574
barcode_29	367	960	1184	2041
barcode_30	438	493	1003	1202
barcode_31	329	255	607	865
barcode_32	210	329	780	586
barcode_33	528	751	1329	1296
barcode_34	380	314	1346	665
barcode_35	788	784	1448	1151
barcode_36	752	478	1792	861
barcode_37	1273	617	1548	1198
barcode_38	1101	984	1510	3359
barcode_39	461	41	567	961
barcode_40	72	400	976	596
barcode_41	661	753	1506	1223
barcode_42	642	674	1615	1012
barcode_43	1653	864	2321	1408
barcode_44	799	711	2310	1309
barcode_45	649	348	1649	1034
barcode_46	1568	525	1887	921
barcode_47	1184	500	1932	950
barcode_48	708	879	1733	1244
barcode_49	2839	1587	3013	1838
barcode_50	2046	1282	2329	1715
barcode_51	1765	1428	2809	1840
barcode_52	566	615	1624	964
barcode_53	815	836	1242	1848
barcode_54	1247	2176	1719	3274
barcode_55	1589	777	1986	1254
barcode_56	852	996	1328	1517
barcode_57	1339	740	1955	1517
barcode_58	901	567	1435	965
barcode_59	1123	787	1448	1235
barcode_60	1012	719	1346	1342
barcode_61	538	530	1502	1045
barcode_62	742	1379	1465	1877
barcode_63	560	59	1376	188
barcode_64	747	1289	1253	2283
barcode_65	308	261	645	1172
barcode_66	48	446	767	657
barcode_67	0	879	1048	1074
barcode_68	40	717	722	978
barcode_69	37	932	693	1299
barcode_70	742	443	1128	629
barcode_71	46	811	584	1253
barcode_72	818	710	1265	1368
barcode_73	0	1736	304	1960
